               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.027059,            0.078191,           0.0042158,             0.86751,             0.86073,             0.91722,             0.74861,            0.021636,            0.069733,           0.0047356,            0.006865,            0.006865,            0.006865
                  97,            0.026195,            0.078918,           0.0041409,             0.88527,             0.85164,             0.91958,              0.7563,            0.021628,            0.069304,           0.0046314,            0.006832,            0.006832,            0.006832
                  98,            0.026952,            0.079212,           0.0040876,              0.8663,             0.87581,             0.91352,             0.74753,             0.02154,            0.068256,           0.0050475,            0.006799,            0.006799,            0.006799
                  99,            0.026511,            0.081967,           0.0042005,             0.86002,             0.86974,             0.91394,             0.75061,            0.021623,            0.068029,           0.0048525,            0.006766,            0.006766,            0.006766
                 100,            0.027144,            0.080845,           0.0041821,             0.86831,             0.85208,             0.90052,             0.74145,            0.021272,             0.06942,            0.005262,            0.006733,            0.006733,            0.006733
                 101,            0.026397,            0.081112,           0.0040942,             0.86985,             0.85192,              0.9091,             0.74497,            0.021485,            0.068426,           0.0052324,              0.0067,              0.0067,              0.0067
                 102,             0.02656,            0.081049,           0.0039554,             0.84217,              0.8608,             0.89405,             0.73084,            0.021544,             0.06881,           0.0058724,            0.006667,            0.006667,            0.006667
                 103,            0.026851,            0.078472,           0.0040366,             0.86044,             0.86802,             0.91167,             0.74963,            0.021276,            0.068649,           0.0048332,            0.006634,            0.006634,            0.006634
                 104,            0.026306,            0.076956,           0.0039443,             0.86224,             0.86632,             0.91331,             0.74927,            0.021322,            0.069158,            0.005147,            0.006601,            0.006601,            0.006601
                 105,            0.026926,            0.080661,           0.0041567,             0.88581,             0.86165,             0.91905,             0.75712,            0.021274,            0.067059,            0.004741,            0.006568,            0.006568,            0.006568
                 106,            0.027072,            0.077699,            0.004238,             0.85742,             0.87179,             0.90374,             0.74473,             0.02119,            0.068449,           0.0053447,            0.006535,            0.006535,            0.006535
                 107,            0.026038,            0.077757,           0.0041567,             0.86872,             0.85398,             0.91197,             0.74863,            0.021515,            0.068477,           0.0054277,            0.006502,            0.006502,            0.006502
                 108,            0.026638,              0.0789,           0.0041411,             0.87296,             0.85584,             0.90669,             0.74165,            0.021527,            0.069491,           0.0051088,            0.006469,            0.006469,            0.006469
                 109,            0.026565,            0.080561,           0.0042027,              0.8741,             0.84095,             0.90759,             0.74885,            0.021427,              0.0685,           0.0049812,            0.006436,            0.006436,            0.006436
                 110,            0.027097,             0.08026,            0.003603,             0.84618,             0.87405,             0.91273,             0.75221,            0.021171,            0.067843,           0.0048552,            0.006403,            0.006403,            0.006403
                 111,            0.026457,            0.077328,           0.0036983,             0.87193,              0.8616,             0.91516,             0.75784,            0.020925,            0.068963,           0.0049313,             0.00637,             0.00637,             0.00637
                 112,            0.024761,            0.075499,           0.0038223,             0.86626,             0.84911,             0.90588,             0.75166,             0.02128,            0.068047,           0.0053746,            0.006337,            0.006337,            0.006337
                 113,            0.025948,            0.075557,           0.0036775,             0.85705,             0.86246,             0.90873,             0.75126,            0.020989,             0.06817,           0.0050444,            0.006304,            0.006304,            0.006304
                 114,            0.025905,            0.077468,           0.0036313,             0.86072,             0.87256,             0.91048,             0.75327,            0.021113,            0.068457,           0.0049796,            0.006271,            0.006271,            0.006271
                 115,            0.025792,            0.078483,            0.004067,             0.86399,             0.86954,             0.90894,             0.75419,            0.020836,            0.068135,           0.0051138,            0.006238,            0.006238,            0.006238
                 116,            0.025633,            0.076058,           0.0039944,             0.88139,             0.86049,             0.91332,             0.75978,            0.020852,            0.067909,           0.0050908,            0.006205,            0.006205,            0.006205
                 117,             0.02527,             0.07644,           0.0043439,             0.87363,             0.84286,             0.90593,             0.74964,             0.02133,            0.068783,           0.0056158,            0.006172,            0.006172,            0.006172
                 118,            0.025926,            0.079234,           0.0041125,             0.86417,             0.87148,             0.91384,             0.76019,            0.021067,            0.068549,           0.0047585,            0.006139,            0.006139,            0.006139
                 119,            0.026233,             0.07674,           0.0038099,             0.87541,             0.85817,             0.90558,             0.75429,            0.021482,             0.06937,           0.0051349,            0.006106,            0.006106,            0.006106
                 120,            0.026194,            0.080202,           0.0037159,             0.86576,             0.86539,             0.91418,             0.75457,            0.021129,            0.067818,           0.0049421,            0.006073,            0.006073,            0.006073
                 121,            0.025815,             0.07596,           0.0035523,               0.871,             0.85666,              0.9157,             0.75837,            0.020829,            0.066975,           0.0052314,             0.00604,             0.00604,             0.00604
                 122,              0.0251,             0.07444,           0.0036777,             0.87001,             0.85874,             0.91337,             0.75537,            0.021183,            0.068294,           0.0049178,            0.006007,            0.006007,            0.006007
                 123,             0.02553,            0.076628,           0.0035845,             0.86394,             0.85269,             0.91189,             0.76002,            0.020858,            0.067832,           0.0049775,            0.005974,            0.005974,            0.005974
                 124,            0.024882,             0.07608,           0.0033712,             0.86339,             0.87426,             0.91893,             0.76474,            0.020851,            0.068256,           0.0047977,            0.005941,            0.005941,            0.005941
                 125,            0.026004,            0.077515,           0.0035217,             0.86989,             0.86296,             0.90949,             0.75239,            0.021254,            0.067897,           0.0051577,            0.005908,            0.005908,            0.005908
                 126,            0.025073,            0.075212,           0.0037502,             0.88028,             0.84024,             0.90764,             0.75738,            0.020749,             0.06862,           0.0049853,            0.005875,            0.005875,            0.005875
                 127,            0.024895,            0.072839,           0.0035516,             0.87768,              0.8598,             0.90844,             0.75509,            0.020984,            0.068697,           0.0051197,            0.005842,            0.005842,            0.005842
                 128,            0.024911,            0.070526,           0.0032541,               0.868,             0.85845,             0.91499,             0.76062,            0.020655,            0.067811,            0.004867,            0.005809,            0.005809,            0.005809
                 129,            0.024711,            0.071462,           0.0032436,             0.87563,             0.85352,             0.91223,             0.76303,            0.020626,            0.067657,           0.0052928,            0.005776,            0.005776,            0.005776
                 130,            0.025593,            0.076581,           0.0034242,             0.87772,              0.8547,             0.91432,             0.76153,             0.02055,            0.066887,           0.0048444,            0.005743,            0.005743,            0.005743
                 131,            0.025303,             0.07453,           0.0033623,             0.86252,             0.87544,             0.91672,              0.7621,            0.020575,            0.066833,           0.0048944,             0.00571,             0.00571,             0.00571
                 132,             0.02442,            0.073952,            0.003346,             0.84863,             0.87655,             0.90773,             0.75892,            0.020627,            0.066346,           0.0052735,            0.005677,            0.005677,            0.005677
                 133,            0.025073,            0.073812,            0.003373,             0.89705,             0.84627,             0.91383,             0.76383,             0.02054,              0.0672,           0.0049146,            0.005644,            0.005644,            0.005644
                 134,             0.02534,            0.074536,           0.0034169,             0.88462,             0.85305,             0.91155,             0.75901,            0.020804,            0.067151,           0.0050423,            0.005611,            0.005611,            0.005611
                 135,            0.024395,            0.075401,           0.0038085,             0.86942,             0.84584,             0.89852,             0.74939,            0.020714,            0.068777,           0.0053857,            0.005578,            0.005578,            0.005578
                 136,            0.024824,            0.072693,           0.0033233,             0.86158,             0.87456,              0.9236,             0.76799,            0.020342,            0.066573,           0.0047606,            0.005545,            0.005545,            0.005545
                 137,             0.02496,            0.072825,           0.0036984,             0.87107,             0.86311,             0.91715,              0.7645,            0.020501,             0.06621,            0.004752,            0.005512,            0.005512,            0.005512
                 138,            0.024584,            0.075944,            0.003514,             0.86982,              0.8598,             0.91796,             0.76662,            0.020386,            0.066403,           0.0048516,            0.005479,            0.005479,            0.005479
                 139,            0.024856,            0.074067,           0.0036358,             0.88045,             0.85685,             0.91567,              0.7653,            0.020506,             0.06724,           0.0048772,            0.005446,            0.005446,            0.005446
                 140,            0.024549,            0.071424,           0.0033206,             0.87167,             0.85539,             0.90448,             0.75581,              0.0205,            0.067778,           0.0053925,            0.005413,            0.005413,            0.005413
                 141,            0.024404,            0.073312,           0.0034117,             0.86586,             0.87258,             0.91351,             0.76412,            0.020442,            0.067376,           0.0048948,             0.00538,             0.00538,             0.00538
                 142,            0.024717,            0.074152,           0.0035399,             0.87993,             0.85003,             0.91337,             0.76586,            0.020497,            0.066746,           0.0049997,            0.005347,            0.005347,            0.005347
                 143,            0.024556,            0.075918,           0.0035272,             0.86155,             0.86529,             0.91185,              0.7626,             0.02045,            0.067612,            0.004991,            0.005314,            0.005314,            0.005314
                 144,            0.023903,            0.072209,           0.0034039,             0.86412,             0.86488,             0.90799,             0.76133,             0.02046,            0.067598,           0.0051435,            0.005281,            0.005281,            0.005281
                 145,            0.024272,            0.073409,           0.0035934,             0.87824,             0.84931,              0.9063,             0.76189,            0.020165,            0.066436,           0.0050969,            0.005248,            0.005248,            0.005248
                 146,            0.023959,            0.070395,           0.0031597,             0.84835,              0.8631,             0.90095,             0.75337,            0.020194,            0.065677,           0.0058228,            0.005215,            0.005215,            0.005215
                 147,            0.024493,            0.071952,           0.0032917,             0.86334,             0.87243,             0.91002,             0.76337,            0.020109,            0.065655,           0.0051036,            0.005182,            0.005182,            0.005182
