               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.025817,            0.071935,           0.0039265,             0.85386,             0.86664,             0.90966,             0.76885,            0.020755,            0.066383,           0.0052945,            0.008251,            0.008251,            0.008251
                  55,            0.025609,            0.074713,           0.0043643,             0.88516,             0.83184,             0.90267,             0.75273,            0.020999,            0.069067,           0.0054041,            0.008218,            0.008218,            0.008218
                  56,            0.027354,            0.076296,           0.0039277,             0.87269,             0.86426,             0.91799,             0.76273,            0.020435,            0.065291,           0.0051726,            0.008185,            0.008185,            0.008185
                  57,             0.02545,            0.071591,           0.0037113,             0.87582,             0.86666,             0.91381,             0.77039,            0.020361,            0.064928,           0.0052255,            0.008152,            0.008152,            0.008152
                  58,            0.026471,            0.071357,           0.0033921,             0.88035,             0.84547,             0.90487,             0.74918,            0.021823,            0.067777,             0.00534,            0.008119,            0.008119,            0.008119
                  59,            0.026354,            0.074372,           0.0036879,             0.88781,             0.85892,             0.91885,             0.76437,            0.021529,            0.066381,           0.0050266,            0.008086,            0.008086,            0.008086
                  60,            0.026002,            0.072234,           0.0036549,             0.86849,             0.86264,             0.90871,             0.76331,            0.019819,            0.065439,           0.0054827,            0.008053,            0.008053,            0.008053
                  61,            0.026673,            0.073272,           0.0033365,             0.88301,               0.851,             0.90796,             0.76575,             0.02017,            0.064629,           0.0053942,             0.00802,             0.00802,             0.00802
                  62,            0.026345,            0.073352,           0.0034177,              0.8836,             0.85108,             0.91407,             0.77083,            0.020102,            0.064997,           0.0051118,            0.007987,            0.007987,            0.007987
                  63,            0.024829,            0.070038,           0.0037544,             0.85667,             0.86562,             0.90737,             0.76647,            0.020079,             0.06522,           0.0054535,            0.007954,            0.007954,            0.007954
                  64,            0.025256,            0.069321,           0.0036897,             0.86966,             0.86623,             0.91098,             0.76263,            0.020273,            0.065826,           0.0054247,            0.007921,            0.007921,            0.007921
                  65,            0.025362,            0.069436,           0.0032345,             0.85964,             0.84382,             0.88776,             0.75391,             0.01986,            0.064784,           0.0064063,            0.007888,            0.007888,            0.007888
                  66,            0.025545,            0.069647,           0.0036154,             0.86726,             0.86876,             0.90699,             0.76846,            0.019783,            0.065195,           0.0054998,            0.007855,            0.007855,            0.007855
                  67,            0.025174,            0.073971,           0.0036904,             0.88159,             0.86652,             0.91888,             0.77771,            0.019935,            0.064622,           0.0048997,            0.007822,            0.007822,            0.007822
                  68,            0.025705,            0.074374,           0.0038262,             0.86592,             0.87569,             0.91296,             0.77029,              0.0199,            0.064079,           0.0051106,            0.007789,            0.007789,            0.007789
                  69,            0.024115,            0.068766,           0.0031623,             0.88235,             0.85256,             0.91142,             0.77193,            0.019303,            0.064975,           0.0052273,            0.007756,            0.007756,            0.007756
                  70,            0.024935,            0.069368,           0.0033341,             0.87441,              0.8547,             0.91168,               0.771,            0.019647,             0.06505,           0.0053784,            0.007723,            0.007723,            0.007723
                  71,            0.024284,            0.067317,           0.0032827,             0.87758,             0.86639,             0.91637,             0.77234,            0.020212,            0.066496,           0.0048876,             0.00769,             0.00769,             0.00769
                  72,            0.024818,            0.068267,           0.0032706,             0.88559,             0.86025,             0.91605,             0.77021,            0.020644,            0.065704,           0.0051591,            0.007657,            0.007657,            0.007657
                  73,            0.023396,             0.06892,            0.003261,             0.86212,               0.869,               0.903,             0.76193,            0.020293,            0.065279,           0.0053642,            0.007624,            0.007624,            0.007624
                  74,              0.0248,            0.067941,           0.0033663,             0.86905,             0.86415,             0.89963,             0.75856,            0.020088,            0.065806,           0.0054533,            0.007591,            0.007591,            0.007591
                  75,            0.024541,            0.069111,           0.0030568,             0.88403,              0.8562,             0.91414,             0.77223,            0.020405,            0.064722,           0.0051914,            0.007558,            0.007558,            0.007558
                  76,            0.024044,            0.068696,            0.003126,             0.88058,             0.85404,             0.91273,             0.77885,            0.019656,            0.063735,            0.005333,            0.007525,            0.007525,            0.007525
                  77,            0.024691,             0.06819,           0.0029921,             0.86536,             0.86431,             0.91327,             0.77043,            0.020307,            0.065565,           0.0053383,            0.007492,            0.007492,            0.007492
                  78,            0.025062,            0.071565,           0.0031159,             0.88074,             0.87578,             0.91989,             0.77181,            0.020332,            0.065006,           0.0048393,            0.007459,            0.007459,            0.007459
                  79,            0.024362,            0.068772,           0.0034947,             0.86635,             0.87931,             0.91421,             0.78205,            0.019342,            0.064162,           0.0051854,            0.007426,            0.007426,            0.007426
                  80,            0.024863,            0.071075,           0.0033759,             0.87258,             0.85343,             0.89609,             0.74997,            0.020291,             0.06571,            0.006093,            0.007393,            0.007393,            0.007393
                  81,            0.024363,            0.067048,           0.0029424,             0.88798,             0.85143,             0.90089,             0.76967,            0.019273,            0.063678,           0.0056419,             0.00736,             0.00736,             0.00736
                  82,            0.024073,            0.065995,           0.0032155,             0.87128,             0.87343,             0.91146,             0.77316,            0.019325,            0.064072,           0.0051672,            0.007327,            0.007327,            0.007327
                  83,            0.023998,            0.066746,           0.0028712,             0.88149,             0.87267,             0.92167,             0.79053,            0.019308,            0.063364,           0.0050432,            0.007294,            0.007294,            0.007294
                  84,             0.02334,            0.066067,           0.0029845,             0.88227,             0.87124,             0.91718,             0.77797,            0.019429,            0.063821,           0.0054413,            0.007261,            0.007261,            0.007261
                  85,            0.023907,            0.066474,           0.0030297,             0.88607,             0.86448,             0.91921,             0.78531,            0.019412,            0.063977,           0.0051063,            0.007228,            0.007228,            0.007228
                  86,            0.023512,            0.068036,            0.003682,             0.87935,             0.86076,             0.91326,             0.77898,            0.019139,            0.063613,           0.0054428,            0.007195,            0.007195,            0.007195
                  87,             0.02374,            0.066872,             0.00326,             0.87517,             0.87916,             0.91815,             0.78901,            0.019186,            0.063111,           0.0049521,            0.007162,            0.007162,            0.007162
                  88,            0.022941,            0.065501,           0.0029987,             0.86592,             0.87982,             0.91278,             0.77591,            0.019533,            0.064754,           0.0050094,            0.007129,            0.007129,            0.007129
                  89,            0.023269,            0.065582,           0.0027151,             0.87136,             0.86314,             0.91048,             0.77931,            0.019394,            0.065638,           0.0053337,            0.007096,            0.007096,            0.007096
                  90,            0.023621,            0.066435,           0.0029964,              0.8699,             0.86914,             0.91195,             0.78048,             0.01923,            0.064738,           0.0053014,            0.007063,            0.007063,            0.007063
                  91,            0.023091,            0.067268,           0.0031307,             0.86663,               0.854,             0.89607,             0.77109,             0.01916,            0.065388,           0.0058857,             0.00703,             0.00703,             0.00703
                  92,            0.023209,            0.065746,           0.0029641,              0.8927,             0.85942,             0.91644,             0.78848,            0.018726,              0.0652,            0.004786,            0.006997,            0.006997,            0.006997
                  93,            0.023168,            0.067418,           0.0030633,             0.87607,             0.86178,             0.91096,             0.78715,            0.019185,            0.064253,           0.0052637,            0.006964,            0.006964,            0.006964
                  94,            0.023667,            0.066406,           0.0030643,             0.85209,             0.86768,              0.9004,             0.77505,            0.019024,            0.065059,           0.0060564,            0.006931,            0.006931,            0.006931
                  95,            0.023546,            0.065293,           0.0029533,             0.87521,             0.87373,             0.90966,             0.78399,            0.019411,            0.065395,           0.0052149,            0.006898,            0.006898,            0.006898
                  96,            0.023337,            0.064064,            0.002834,             0.88263,             0.87367,             0.90964,             0.77757,            0.019424,              0.0644,           0.0051996,            0.006865,            0.006865,            0.006865
                  97,            0.022981,            0.065204,           0.0029745,             0.86411,             0.87194,             0.89925,             0.77435,            0.019066,            0.064347,           0.0056977,            0.006832,            0.006832,            0.006832
                  98,            0.022818,            0.065446,           0.0028367,              0.8927,             0.85315,             0.91382,             0.78679,            0.018731,            0.064433,           0.0051189,            0.006799,            0.006799,            0.006799
                  99,            0.023101,            0.068094,           0.0029148,             0.87436,             0.86113,             0.90899,             0.78315,            0.018907,            0.064667,           0.0053944,            0.006766,            0.006766,            0.006766
                 100,            0.023627,            0.066407,           0.0028872,             0.87423,              0.8698,              0.9082,              0.7816,            0.018461,            0.063989,           0.0051574,            0.006733,            0.006733,            0.006733
                 101,            0.022491,            0.065601,           0.0026612,             0.87492,             0.85162,             0.90623,             0.78328,            0.018534,            0.063638,            0.005526,              0.0067,              0.0067,              0.0067
                 102,            0.022237,            0.065873,           0.0028487,             0.87896,             0.84331,             0.89364,             0.77051,            0.018878,            0.064218,           0.0059596,            0.006667,            0.006667,            0.006667
                 103,            0.023371,            0.064643,           0.0028921,             0.88126,             0.85544,             0.90603,             0.78208,            0.018926,            0.063555,           0.0052943,            0.006634,            0.006634,            0.006634
                 104,            0.022933,            0.063104,           0.0027517,              0.8741,             0.85771,             0.90432,             0.78228,            0.018464,            0.064469,           0.0053983,            0.006601,            0.006601,            0.006601
                 105,             0.02292,            0.066252,            0.003183,             0.86701,             0.87647,             0.91488,             0.79412,            0.018855,            0.064919,           0.0050416,            0.006568,            0.006568,            0.006568
                 106,            0.023227,            0.064058,           0.0029287,             0.87427,             0.86292,             0.89397,             0.77319,            0.018407,            0.065105,           0.0058083,            0.006535,            0.006535,            0.006535
                 107,            0.022432,            0.064109,           0.0027138,             0.86969,             0.85881,             0.89622,             0.77315,            0.018917,            0.064576,           0.0060641,            0.006502,            0.006502,            0.006502
                 108,            0.022502,            0.063919,           0.0025524,             0.87999,             0.85511,             0.90736,             0.77912,            0.018606,            0.063725,            0.005762,            0.006469,            0.006469,            0.006469
                 109,            0.022695,            0.064993,           0.0025868,             0.88192,             0.87072,             0.91915,             0.79887,            0.018118,            0.062703,           0.0046761,            0.006436,            0.006436,            0.006436
                 110,            0.022707,            0.065691,           0.0023882,             0.87127,             0.88288,             0.90966,             0.78662,            0.018425,            0.062784,           0.0052446,            0.006403,            0.006403,            0.006403
                 111,             0.02257,            0.063641,           0.0025761,             0.87604,             0.87516,             0.91378,             0.79399,            0.018065,             0.06309,            0.005199,             0.00637,             0.00637,             0.00637
                 112,            0.021511,            0.060835,           0.0024489,             0.87511,             0.87532,             0.91276,             0.78997,            0.018365,            0.063745,           0.0052805,            0.006337,            0.006337,            0.006337
                 113,            0.022323,             0.06266,           0.0027468,              0.8754,              0.8622,             0.90144,             0.78392,            0.018341,            0.064041,           0.0055557,            0.006304,            0.006304,            0.006304
                 114,            0.021969,            0.063652,           0.0024022,             0.86578,             0.86095,              0.9016,             0.78364,            0.018134,            0.063338,           0.0058936,            0.006271,            0.006271,            0.006271
                 115,            0.022155,            0.063818,           0.0026445,             0.89128,              0.8553,             0.91081,              0.7938,            0.018269,            0.063699,           0.0054317,            0.006238,            0.006238,            0.006238
                 116,            0.021593,            0.061623,             0.00268,             0.88909,             0.85643,              0.9163,             0.79737,            0.017953,            0.063302,           0.0051715,            0.006205,            0.006205,            0.006205
                 117,            0.021452,            0.061833,           0.0028877,             0.88104,             0.84991,              0.9017,             0.78599,            0.018234,            0.064342,           0.0058673,            0.006172,            0.006172,            0.006172
                 118,            0.021921,            0.064374,           0.0029119,              0.8745,             0.86249,             0.89706,              0.7802,            0.018124,            0.064261,            0.005913,            0.006139,            0.006139,            0.006139
                 119,            0.022074,            0.062091,           0.0029049,             0.88784,             0.86429,             0.90277,             0.78581,            0.018222,            0.063686,           0.0055496,            0.006106,            0.006106,            0.006106
